,n_track,set_section,artist,track,set_name
0,1,2,X,101,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
1,2,2,F.C. Judd,Suspended Motion,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
2,3,2,Gesloten Cirkel,Yamagic,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
3,4,2,Chris Carrier,Kudzu,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
4,5,2,Marcel Dettmann,Landscape,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
5,6,2,Nightjars,Things Movin' On,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
6,7,2,Bad Cop Bad Cop,Cherry Tea,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
7,8,2,Surgeon,First,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
8,9,2,DJ Vague,Porsche Trax,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
9,10,2,Clatterbox,Rosetta Complex,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
10,11,2,Objekt,Shuttered,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
11,12,2,Marco Bernardi,Preacher Teacher,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
12,13,2,Underground Resistance,Base Camp Alpha 808,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
13,14,2,DJ Assault,Backwards In Time,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
14,15,2,Walt J,Ascender,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
15,16,2,DVS1,Break Away,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
16,17,2,MMM,MMM Meets Tshetsha Boys,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
17,18,2,Jose Pouj,Meta,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
18,19,2,Artist One,Black Sun 1,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
19,20,2,EQD,Equalized #005 B,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
20,21,2,Actress,Rainy Dub,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190"
21,1,4,Griffit Vigo,Run,2021-10-23 - Objekt @ Nowadays (All night)
22,2,4,Oyubi,Mallet Man,2021-10-23 - Objekt @ Nowadays (All night)
23,3,4,Knopha,Passing Clouds,2021-10-23 - Objekt @ Nowadays (All night)
24,4,4,Vertical Spectrum,PAVKO010,2021-10-23 - Objekt @ Nowadays (All night)
25,5,4,Regis,I See Fire,2021-10-23 - Objekt @ Nowadays (All night)
26,6,4,Gong Gong Gong 工工工,Inner Reaches 慾望的暗角二 (Zaliva,2021-10-23 - Objekt @ Nowadays (All night)
