,index,Unnamed: 0,track_id,artist,track,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instrumentalness,mode,styles
0,0,0,2t7OLqJA5oD5I5QZRwMPAR,Healion,About Breathing,"In Light, It Undoes Nothing...",7.2,160.011,0.676,0.618,0.146,F#,4,0.0609,0.735,0,"['Drum n Bass', 'IDM', 'Leftfield']"
1,5,1,1adXPHPWJrsa90kHuJZNrV,Healion,About Breathing - Remix,"In Light, It Undoes Nothing...",6.143416666666667,159.994,0.913,0.724,0.948,D#,4,0.0269,0.821,0,"['Drum n Bass', 'IDM', 'Leftfield']"
2,10,2,5sBXirjKrYh57rEGOiUBtP,Healion,Vetiver,"In Light, It Undoes Nothing...",4.625,128.007,0.594,0.644,0.585,G#,4,0.48,0.889,0,"['Drum n Bass', 'IDM', 'Leftfield']"
3,15,3,6EnNR8NnMTznFVowHfWPk8,Healion,I'll See It When I Believe It,"In Light, It Undoes Nothing...",4.3826,112.795,0.523,0.22,0.287,A,4,0.483,0.773,0,"['Drum n Bass', 'IDM', 'Leftfield']"
4,20,4,33wGiihh5zKVLAb3J3DvBk,Healion,Gathering,"In Light, It Undoes Nothing...",4.053333333333334,149.986,0.882,0.578,0.821,F#,4,0.496,0.877,1,"['Drum n Bass', 'IDM', 'Leftfield']"
5,25,5,1SVfU1SegvoS7E8t1ala4d,Huerta,Pain Relief,Junipero,4.287983333333333,80.133,0.314,0.305,0.344,G,5,0.891,0.0125,1,"['Ambient', 'Deep House']"
6,36,6,2ZKnXvGqQ3cVYmUlUFEzDh,Huerta,Blanket Dub,Junipero,6.237283333333333,117.958,0.713,0.565,0.33,C,4,0.653,0.936,0,"['Ambient', 'Deep House']"
7,47,7,18HKb8orGh5CZtzcezYUy7,Huerta,Mutualism,Junipero,4.75,127.982,0.757,0.689,0.722,G,4,0.831,0.888,0,"['Ambient', 'Deep House']"
8,58,8,0jj2x7OST0shCGjfgifHyS,Huerta,It Goes over Me,Junipero,3.809516666666666,81.958,0.0742,0.179,0.0639,B,5,0.794,0.92,0,"['Ambient', 'Deep House']"
9,69,9,3YEojiLatViYEOq8pCwqeg,Huerta,All Wild Things Are Shy,Junipero,4.3636333333333335,132.044,0.812,0.671,0.404,C,4,0.0371,0.823,0,"['Ambient', 'Deep House']"
10,80,10,2PSFYm7x9XQjAPzGx59Fix,Huerta,Aerial Interlude,Junipero,2.2,81.31,0.0568,0.164,0.0395,C#,4,0.979,0.974,0,"['Ambient', 'Deep House']"
11,91,11,2riha2KKZMqEPtnK0HaT1j,Huerta,Plant Memory,Junipero,8.0,82.436,0.533,0.377,0.346,F,4,0.953,0.937,1,"['Ambient', 'Deep House']"
12,102,12,5O5vhPvmMpNiUcqe1qC6AK,Huerta,Waxwing Air,Junipero,3.4330666666666665,127.01,0.844,0.799,0.719,F#,4,0.0803,0.886,0,"['Ambient', 'Deep House']"
13,113,13,00psxjEcTkNXI6aN2AS0eK,Huerta,The Ritual,Junipero,4.913383333333333,127.001,0.965,0.764,0.833,G,4,0.121,0.902,1,"['Ambient', 'Deep House']"
14,124,14,3ORpfjOzaZhv4pcWfnl9lX,Huerta,Road to Toco,Junipero,5.291333333333333,126.984,0.897,0.713,0.823,F#,4,0.775,0.32,1,"['Ambient', 'Deep House']"
15,135,15,37kukgcBEhxyl6wXxdW7T3,Huerta,Tiles & Glass,Junipero,7.755316666666666,83.431,0.455,0.174,0.0263,A#,4,0.654,0.909,0,"['Ambient', 'Deep House']"
16,146,16,7lZsH3cKcwOFWDIZe03Xo1,Perko,Swirral Edge,Galerie,6.0375,66.31,0.284,0.241,0.0574,E,4,0.814,0.952,0,
17,147,17,6uwcQwvsEjOVsaCb0ItzX3,Perko,Galerie,Galerie,3.8291666666666666,125.742,0.0885,0.464,0.11,G#,4,0.995,0.957,1,
18,148,18,2UME9I15BKUwUUmBkLTWJu,Perko,Interlude,Galerie,1.1375,87.972,0.486,0.381,0.0388,C#,3,0.334,0.794,0,
19,149,19,1mH7JeLR84GjXwa4tZBnX6,Perko,Edie,Galerie,3.9029666666666665,128.775,0.107,0.244,0.0688,F,5,0.971,0.926,1,
20,150,20,0I6WVW9P5fjiR5tpGAVrJw,Perko,Striding Edge,Galerie,4.9,111.088,0.505,0.186,0.0372,F#,3,0.985,0.974,0,
21,151,21,1bM2e3fY5IULzm4ytSZatw,Perko,Scramble,Galerie,1.3416666666666666,111.353,0.842,0.262,0.0199,C#,5,0.975,0.993,1,
22,152,22,0RX6QzU0MM8rluWDYexZB3,Perko,Marri,Galerie,5.358333333333333,72.677,0.119,0.133,0.036,F,3,0.174,0.906,1,
