,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode,na
125,1,1,Bonobo,Cirrus,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,2lJ4d8MCT6ZlDRHKJ1br14,The North Borders,5.8707666666666665,119.042,0.844,0.64,0.364,2,4,0.395,0.933,0,False
126,2,1,Eliphino,More Than Me,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,20ieXcjQBv4ePXkWxhvKPV,More Than Me,7.019933333333333,117.994,0.714,0.851,0.414,9,4,0.00383,0.38,0,False
127,3,1,FaltyDL,Straight And Arrow,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,7G2ws9VEzcZk51nnp4xuYu,Straight & Arrow,3.4643333333333333,130.038,0.723,0.791,0.132,8,4,0.00106,0.767,1,False
128,4,1,Rocketnumbernine,Matthew And Toby (Four Tet Remix),2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,6KuF6uqMIvaafrF1LCWcEg,Dubfire - A Transmission,9.784,125.007,0.483,0.744,0.281,7,4,0.572,0.94,1,False
129,5,1,Bonobo,Sapphire,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,1d5hX0RYHcDM4aHJHSm5cr,The North Borders,4.795466666666667,135.024,0.631,0.641,0.0549,0,4,0.048,0.612,0,False
130,6,1,Dauwd,What's There,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,3XxUrQjvqK1J6ApLK7E8G0,What's There,6.403433333333333,131.035,0.669,0.682,0.336,4,4,0.0295,0.84,0,False
131,7,1,Bonobo,Kiara (Cosmin TRG Remix),2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,0u3FUbLBZPhjD3NRc2ys3R,Black Sands Remixed,5.093333333333334,124.987,0.892,0.593,0.1,2,4,0.0112,0.905,1,False
132,8,1,Throwing Snow,Pyre,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,3pXQeUeMYYxdBouICpd0L2,Too Polite - EP,5.230566666666666,131.009,0.526,0.803,0.105,9,4,0.0545,0.827,0,False
133,9,1,Floating Points,ARP3,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,18A3Au2LzZ8bRqrDUjyVlJ,Shadows,9.346833333333333,124.943,0.596,0.824,0.27,5,4,0.0372,0.918,0,False
134,10,1,Bonobo,All In Forms (Mike Slott Remix),2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,1h6ehMY0dFxzZmwCnZF6qX,Black Sands Remixed,5.432883333333334,77.578,0.633,0.313,0.111,9,4,0.0821,0.822,1,False
135,11,1,Bonobo Feat. Triana,Eyesdown (Machinedrum Remix),2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,,,,,,,,,,,,,True
136,12,1,Mosca,Bax,2012-02-08 - Bonobo @ Boiler Room 77 - Ninja Tune Takeover,4x0WzGuKSqZkDKi0N69CLd,Done Me Wrong / Bax,5.552233333333334,134.023,0.733,0.788,0.8,11,4,0.000754,0.882,0,False
224,1,1,Dustin O'Halloran,An Ending A Beginning,"2013-12-08 - Bonobo - Liquid Radio, FM4",321kAwKSTFjsQznjLpbfD9,Other Lights,2.1462166666666667,137.125,0.226,0.277,0.222,3,4,0.977,0.897,1,False
225,2,1,Khruangbin,A Calf Born In Winter,"2013-12-08 - Bonobo - Liquid Radio, FM4",230tKtsKM3eigmK2CtssAO,A Calf Born in Winter,3.4837333333333333,82.616,0.393,0.513,0.513,2,4,0.563,0.894,1,False
226,3,1,Bonobo,Get Thy Bearings,"2013-12-08 - Bonobo - Liquid Radio, FM4",6tqAkUVWAjqTzT363IzgCw,Late Night Tales: Bonobo,3.098133333333333,75.926,0.553,0.4,0.453,4,4,0.736,0.365,0,False
227,4,1,Darondo,Didn't I,"2013-12-08 - Bonobo - Liquid Radio, FM4",,,,,,,,,,,,,True
228,5,1,Nina Simone,Baltimore,"2013-12-08 - Bonobo - Liquid Radio, FM4",39CyGKIFqMzSuynOR8uilD,Baltimore,4.647766666666667,154.955,0.28,0.638,0.734,9,4,0.417,0.439,1,False
229,6,1,Hypnotic Brass Ensemble,Flipside,"2013-12-08 - Bonobo - Liquid Radio, FM4",73CtQ5mEQOarDjZfRdJ454,Hypnotic Brass Ensemble,4.880883333333333,95.931,0.555,0.717,0.943,1,4,0.231,0.82,1,False
230,7,1,Menehan Street Band,The Traitor,"2013-12-08 - Bonobo - Liquid Radio, FM4",,,,,,,,,,,,,True
231,8,1,Andrew Ashong & Theo Parrish,Flowers,"2013-12-08 - Bonobo - Liquid Radio, FM4",3jYzcHvW4k6Lrfm6fj87Rn,Flowers,8.871883333333333,96.019,0.578,0.824,0.89,9,4,0.264,0.00542,0,False
232,9,1,Romare,Down The Line (It Takes A Number),"2013-12-08 - Bonobo - Liquid Radio, FM4",4CjEkkRMMKY2ROy21bFNrc,Meditations on Afrocentrism,4.2449666666666666,88.009,0.374,0.79,0.325,6,4,0.839,0.864,1,False
233,10,1,Shlohmo,Places,"2013-12-08 - Bonobo - Liquid Radio, FM4",3RN6IMCkcJr44Xm7tdWWaK,Bad Vibes,5.036833333333333,85.221,0.469,0.356,0.23,6,4,0.36,0.881,0,False
234,11,1,Lapalux,Gutter Glitter,"2013-12-08 - Bonobo - Liquid Radio, FM4",62GRlzq2rRHmWyA0NGBjji,Late Night Tales: Bonobo,4.008116666666667,109.284,0.82,0.445,0.0654,8,4,0.0284,0.00978,1,False
235,12,1,The Invisible,Wings (Floating Points Remix),"2013-12-08 - Bonobo - Liquid Radio, FM4",3IZYPSWzd185KQlI4XxSc5,Late Night Tales: Bonobo,7.38145,112.006,0.557,0.661,0.106,1,4,0.0266,0.803,0,False
236,13,1,Badbadnotgood,Hedron,"2013-12-08 - Bonobo - Liquid Radio, FM4",10lGufP5RmCsUwKDTcPpxs,Late Night Tales: Bonobo,5.864583333333333,151.437,0.639,0.43,0.171,3,4,0.132,0.942,0,False
237,14,1,Matthew Bourne,VIII. Juliet,"2013-12-08 - Bonobo - Liquid Radio, FM4",0ShPQnUeQ3hvm4yy2iLu4b,Montauk Variations,3.3455333333333335,86.85,0.0739,0.11,0.0617,0,4,0.992,0.834,0,False
238,15,1,Airhead,South Congress,"2013-12-08 - Bonobo - Liquid Radio, FM4",41SOMdIWIp1lRaDV5TaBuV,Late Night Tales: Bonobo,3.8987666666666665,138.012,0.577,0.639,0.171,0,4,0.0997,0.921,1,False
239,16,1,Matthew Halsall,Sailing Out To Sea,"2013-12-08 - Bonobo - Liquid Radio, FM4",5njhXZhWNjrSsVAtoV1MHm,Fletcher Moss Park,1.5175833333333333,81.03,0.247,0.179,0.0385,5,4,0.576,0.115,1,False
240,17,1,Dorothy Ashby,Essence Of Sapphire,"2013-12-08 - Bonobo - Liquid Radio, FM4",13PqmoiHO8rzblmaNFHY4g,Late Night Tales: Bonobo,3.2012666666666667,84.621,0.397,0.383,0.555,4,3,0.803,0.822,0,False
241,18,1,Peter & Kerry,One Thing,"2013-12-08 - Bonobo - Liquid Radio, FM4",6xrjiQlZMCDp2sDJhW2v6e,Late Night Tales: Bonobo,3.5166166666666667,131.051,0.504,0.288,0.268,4,1,0.0867,0,0,False
242,19,1,Eddi Front,Gigantic,"2013-12-08 - Bonobo - Liquid Radio, FM4",5aUSvA28D0KW8L9Hg78O7L,EDDI FRONT,3.3738333333333332,81.001,0.119,0.379,0.0376,11,3,0.912,0.117,1,False
360,1,1,Bonobo Feat. Andreya Triana,Eyesdown (Intro),"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",,,,,,,,,,,,,True
361,2,1,Bonobo,Scuba,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",5xx5pOStfJ1F67wC4u0MsW,Bonobo: One Offs... Remixes & B Sides,4.376216666666667,102.822,0.707,0.409,0.397,5,4,0.0316,0.797,0,False
362,3,1,Bonobo,Kota,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",64IMhkiT7RbtjEtMVqL1Z9,Animal Magic,5.418216666666667,112.009,0.61,0.744,0.364,5,4,0.215,0.894,0,False
363,4,1,Bonobo,Terrapin,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",4G6ra5sanRGP2PWNw0FESC,Animal Magic,4.6391,152.011,0.327,0.551,0.0391,10,4,0.784,0.936,1,False
364,5,1,Bonobo,Flutter,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",5K8WNrf5JvmBE6O0MbSRuJ,Dial 'M' for Monkey,4.738,103.005,0.644,0.605,0.747,9,4,0.00379,0.202,0,False
365,6,1,Bonobo,Nothing Owed,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",6VhlABJh5uaZOpyyi5wute,Dial 'M' for Monkey,6.27555,90.007,0.414,0.641,0.269,11,4,0.362,0.833,0,False
366,7,1,Bonobo Feat. Bajka,Nightlite,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",,,,,,,,,,,,,True
367,8,1,Bonobo Feat. Andreya Triana,Eyesdown,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",,,,,,,,,,,,,True
368,9,1,Bonobo,Black Sands,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",6uoM7KHsyJsHZqBQHKjQbc,Black Sands,6.816,87.989,0.499,0.525,0.338,0,3,0.732,0.936,0,False
369,10,1,Bonobo Feat. Erykah Badu,Heaven For The Sinner,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",,,,,,,,,,,,,True
370,11,1,Bonobo,Cirrus,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",2lJ4d8MCT6ZlDRHKJ1br14,The North Borders,5.8707666666666665,119.042,0.844,0.64,0.364,2,4,0.395,0.933,0,False
371,12,1,Bonobo Feat. Szjerdene,Get Thy Bearings,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",6tqAkUVWAjqTzT363IzgCw,Late Night Tales: Bonobo,3.098133333333333,75.926,0.553,0.4,0.453,4,4,0.736,0.365,0,False
372,13,1,Bonobo,Recurring,"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",0tXU2cpXxXysj6jg4vSUbv,Days To Come,4.868433333333333,116.252,0.649,0.366,0.481,7,4,0.154,0.941,1,False
373,14,1,Nostalgia 77,Quiet Dawn (Bonobo Remix),"2014-04-06 - Bonobo (Live PA) - Fireside Chat, RBMA Radio",4d89Meb1gzNeMEWRRCXuyU,Quiet Dawn,7.1351,115.018,0.476,0.8,0.899,4,4,0.0095,0.647,0,False
374,1,1,Intro,Quiet Dawn (Bonobo Remix),2014-04-12 - Bonobo - Essential Mix,4d89Meb1gzNeMEWRRCXuyU,Quiet Dawn,7.1351,115.018,0.476,0.8,0.899,4,4,0.0095,0.647,0,False
375,2,1,Vangelis,Abraham's Theme,2014-04-12 - Bonobo - Essential Mix,463b8SF7KXrU5oqHgZKSOc,Chariots Of Fire (Original Motion Picture Soundtrack / Remastered),3.3411,72.839,0.0196,0.239,0.0326,9,4,0.869,0.761,1,False
376,3,1,Bonobo,Don't Wait,2014-04-12 - Bonobo - Essential Mix,,,,,,,,,,,,,True
377,4,1,Letherette,D&T (Dorian Concept Remix),2014-04-12 - Bonobo - Essential Mix,52xJxFP6TqMuO4Yt0eOkMz,Encanto (Original Motion Picture Soundtrack),3.602,205.863,0.45,0.577,0.83,0,4,0.357,0,0,False
378,5,1,Dark Sky,Clear,2014-04-12 - Bonobo - Essential Mix,2e1L6m2sq4Pz0EVeAx0Dhp,Mister Saturday Night - Brothers and Sisters,5.3731,120.006,0.797,0.818,0.529,8,4,0.111,0.896,1,False
379,6,1,Maya Jane Coles,Something In The Air (Bonobo Remix),2014-04-12 - Bonobo - Essential Mix,6wLDbkpdZEElEdKo9Wt010,Don’t Put Me In Your Box (The Remixes),6.116483333333333,118.002,0.71,0.728,0.158,11,4,0.0524,0.905,0,False
380,7,1,Catching Flies,Mama's Wisdom,2014-04-12 - Bonobo - Essential Mix,08Pf43rcNQz5JkMq4H4gJz,Komorebi / Mama's Wisdom,4.73145,121.906,0.729,0.626,0.147,4,4,0.589,0.896,0,False
381,8,1,Mano Le Tough,Primative People (Tale Of Us Remix),2014-04-12 - Bonobo - Essential Mix,20OvtcB4riRmoXeGoyr5UA,Changing Days Remixes,7.113033333333333,120.004,0.814,0.653,0.507,11,4,0.00944,0.656,0,False
382,9,1,Dauwd,Lydia,2014-04-12 - Bonobo - Essential Mix,1Fs3DEJsYoT1jsK9sNGRaK,Kindlinn,5.8048166666666665,118.038,0.562,0.67,0.321,1,4,0.0137,0.891,1,False
383,10,1,Cuthead,Maputo Jam,2014-04-12 - Bonobo - Essential Mix,2XeheVhX7rgA6tWOJdyIqX,Everlasting Sunday,5.0952166666666665,119.981,0.781,0.719,0.347,8,4,0.13,0.031,0,False
384,11,1,Maribou State,Moon Circles,2014-04-12 - Bonobo - Essential Mix,3hPQQLoF4w3tfe8ZliOs8v,Truths,4.068216666666666,119.988,0.725,0.786,0.716,11,4,0.121,0.805,1,False
385,12,1,Sharon Van Etten,We Are Fine (Tourist Remix),2014-04-12 - Bonobo - Essential Mix,,,,,,,,,,,,,True
386,13,1,Jimpster,Porchlight & Rocking Chairs (KiNK Remix),2014-04-12 - Bonobo - Essential Mix,4nTegvHWARJKGgro2wLDKd,Live From The Underground,3.8004333333333333,87.002,0.723,0.763,0.691,10,4,0.14,1.44e-06,0,False
387,14,1,Lorca,Naoko,2014-04-12 - Bonobo - Essential Mix,3Def5LDMstKK2mToIPyPlp,Forgive Me Love / Naoko,6.10955,123.001,0.796,0.687,0.566,5,4,0.0854,0.903,0,False
388,15,1,Bonobo Feat. Grey Reverend,First Fires (Maya Jane Coles Remix),2014-04-12 - Bonobo - Essential Mix,,,,,,,,,,,,,True
389,16,1,Jungle,Drops (Pedestrian Edit),2014-04-12 - Bonobo - Essential Mix,,,,,,,,,,,,,True
390,17,1,Werkha,Lapwing,2014-04-12 - Bonobo - Essential Mix,1wsLIi7xeEe3CxQ0wNRITV,Beacons,4.295416666666667,120.966,0.763,0.713,0.885,3,4,0.00285,0.696,0,False
391,18,1,Ten Walls,Requiem,2014-04-12 - Bonobo - Essential Mix,1GiQqw8KQoamCVgfVkHfK2,Requiem EP,7.508333333333334,120.005,0.71,0.81,0.881,1,4,0.0124,0.891,1,False
392,19,1,Francis Bebey,Bissao (Pilooski Edit),2014-04-12 - Bonobo - Essential Mix,5i3oOpS46SHZTFVtX1B3fr,Francis Bebey Remix,5.707466666666667,119.969,0.717,0.825,0.163,3,4,0.534,0.00512,1,False
393,20,1,General Ludd,Woo Ha,2014-04-12 - Bonobo - Essential Mix,06Ni8lXsCEnIOmxiN6TZ1e,The Fit Of Passion EP,5.9196333333333335,124.971,0.928,0.659,0.431,1,4,0.00016,0.0865,1,False
394,21,1,Romare,Jimmy,2014-04-12 - Bonobo - Essential Mix,4V0eO34EInHiJaCYrQtGkd,Projections,3.0677166666666666,119.909,0.141,0.391,0.143,0,4,0.966,0.919,1,False
395,22,1,William Arcane,Reflected,2014-04-12 - Bonobo - Essential Mix,0nkKToaJu16rYa7lJ9oYCn,Reflected,4.010916666666667,127.941,0.277,0.555,0.0437,0,4,0.921,0.157,0,False
396,23,1,London Grammar,Hey Now (Bonobo Remix),2014-04-12 - Bonobo - Essential Mix,6pp1orgxrCba8I8rK11uv3,Hey Now,5.764483333333334,128.018,0.778,0.699,0.217,5,4,0.312,0.525,0,False
397,24,1,Taylor McFerrin Feat. Emily King,Decisions,2014-04-12 - Bonobo - Essential Mix,,,,,,,,,,,,,True
398,25,1,Throwing Snow Feat. Adda Kaleh,The Tempest,2014-04-12 - Bonobo - Essential Mix,00XL579f4RZRuewTiq6XAY,Mosaic,4.181616666666667,125.041,0.697,0.416,0.147,10,4,0.0487,0.387,0,False
399,26,1,Kelis,Runnin' (Machinedrum Remix),2014-04-12 - Bonobo - Essential Mix,7xRKHhAYDixP5I3fwOB5p8,Change / Runnin' / Forever Be - Remixes,5.24025,160.035,0.782,0.534,0.305,2,4,0.096,0.00124,0,False
400,27,1,Illum Sphere,Embryonic (Lone Remix),2014-04-12 - Bonobo - Essential Mix,7rlDmA8x2FO6plemjnPE0i,Spectre Vex,4.6974,159.976,0.811,0.459,0.19,6,4,0.507,0.758,0,False
401,28,1,Martyn,Glassbeadgames (8 Hours At Fabric (Dub With Four Tet),2014-04-12 - Bonobo - Essential Mix,,,,,,,,,,,,,True
402,1,1,Moderat,Bad Kingdom (DJ Koze Remix),2014-09-02 - Bonobo - Mixed By,2JYxMJ0rx5igtboSLiCUB7,"Reincarnations, Pt. 2 - The Remix Chapter 2009 - 2014",7.77755,117.991,0.733,0.692,0.243,9,4,0.000564,0.77,0,False
