,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode
0,1,4,Makoto,Magic Hour,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",7ul297SjmLI6D4xN4xiZzG,Souled Out,2.315716666666667,139.999,0.592,0.628,0.325,9,4,0.0241,0.956,0
2,3,4,Rustie,Ultra Thizz,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",2WzpnFQQv98FgOYRlHuU6S,Glass Swords,3.99355,189.709,0.895,0.36,0.321,0,5,0.153,0.608,1
3,3,4,Rustie,Ultra Thizz,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",2WzpnFQQv98FgOYRlHuU6S,Glass Swords,3.99355,189.709,0.895,0.36,0.321,0,5,0.153,0.608,1
4,4,4,Mosca,Done Me Wrong,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",2Zgd4CU4Gjd0Fbu4darACt,Done Me Wrong / Bax,5.499316666666667,128.033,0.861,0.803,0.479,5,4,0.00156,0.589,0
5,4,4,Mosca,Done Me Wrong,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",2Zgd4CU4Gjd0Fbu4darACt,Done Me Wrong / Bax,5.499316666666667,128.033,0.861,0.803,0.479,5,4,0.00156,0.589,0
6,5,4,Kuedo,Ascension Phase,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",1J6lT1Z8xt31I0u0fL2aaq,Severant,2.836,35.263,0.851,0.429,0.326,1,4,0.000351,0.428,0
7,5,4,Kuedo,Ascension Phase,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",1J6lT1Z8xt31I0u0fL2aaq,Severant,2.836,35.263,0.851,0.429,0.326,1,4,0.000351,0.428,0
8,6,4,Kendrick Lamar,A.D.H.D.,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",2Fw5S2gaOSZzdN5dFoC2dj,Section.80,3.591816666666667,157.74,0.799,0.609,0.582,9,4,0.33,0,1
9,6,4,Kendrick Lamar,A.D.H.D.,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",2Fw5S2gaOSZzdN5dFoC2dj,Section.80,3.591816666666667,157.74,0.799,0.609,0.582,9,4,0.33,0,1
10,7,4,Fybe:one,So What,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",4IiahAUr1zyhN4kworGJNB,Harp,2.7742166666666668,121.676,0.356,0.709,0.278,0,1,0.422,0.00226,1
11,7,4,Fybe:one,So What,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",4IiahAUr1zyhN4kworGJNB,Harp,2.7742166666666668,121.676,0.356,0.709,0.278,0,1,0.422,0.00226,1
13,9,4,Cosmin TRG,Amor Y Otros,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",5c6Dc8mlqs39Fjkvhh6E6Y,Simulat,5.538666666666667,125.003,0.706,0.571,0.0597,0,4,0.00264,0.841,1
14,9,4,Cosmin TRG,Amor Y Otros,"2011-09-10 - Mary Anne Hobbs, Martyn, DJRUM @ XFM",5c6Dc8mlqs39Fjkvhh6E6Y,Simulat,5.538666666666667,125.003,0.706,0.571,0.0597,0,4,0.00264,0.841,1
