,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode
1,2,2,F.C. Judd,Suspended Motion,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",1PRK1UyfwvMRKrHpQNU96p,Electronics Without Tears,3.249433333333333,65.954,0.478,0.229,0.102,11,3,0.622,0.878,0
2,3,2,Gesloten Cirkel,Yamagic,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",7ndbl7gYsOUt20lFk8gnSg,Moustache Techno Series 001,6.3255,123.981,0.572,0.769,0.307,7,4,0.00637,0.895,1
3,4,2,Chris Carrier,Kudzu,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",200j8UVjb1m6UTyRhfIysJ,Sound Carrier 04,6.908216666666666,125.986,0.845,0.802,0.27,7,4,0.000473,0.943,1
4,5,2,Marcel Dettmann,Landscape,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",3FSPaDQGQDEsL9FF2sEChz,Landscape,6.098416666666667,126.021,0.74,0.716,0.0506,6,4,0.0113,0.893,0
6,7,2,Bad Cop Bad Cop,Cherry Tea,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",0Rk9A6y89H1dJJm96FzpgQ,Bad Reputation EP,6.618166666666666,130.013,0.603,0.679,0.416,10,4,0.00322,0.716,0
7,8,2,Surgeon,First,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",5BP3KAHtNGcuy8QZFpveh1,Basictonalvocabulary,4.726,137.696,0.892,0.703,0.287,10,4,0.244,0.787,0
8,9,2,DJ Vague,Porsche Trax,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",3CLpPAR8Cvzx9AcP5LBFlZ,Porsche Trax,7.5341,135.885,0.632,0.681,0.348,8,4,9.15e-05,0.942,0
9,10,2,Clatterbox,Rosetta Complex,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",5gKhCEEUDdnH0CTeWLI6jh,Storm Drain,4.764516666666666,130.002,0.954,0.716,0.42,6,4,0.0693,0.708,1
11,12,2,Marco Bernardi,Preacher Teacher,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",5WbLyzRZtooAleEFQKwsJ4,We Bring More Drama,6.626666666666667,134.017,0.96,0.79,0.473,5,4,0.115,0.335,1
12,13,2,Underground Resistance,Base Camp Alpha 808,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",4Wm1dh2bpdKGkr5VfJmFdx,Get Lost VI mixed by Totally Enormous Extinct Dinosaurs,6.031766666666667,126.986,0.758,0.804,0.143,6,4,0.0327,0.911,0
13,14,2,DJ Assault,Backwards In Time,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",1yShGwv5bHUdiRIqqQAt0S,All Over The Place (LP),4.41775,131.995,0.706,0.795,0.758,2,4,4.63e-05,0.861,1
15,16,2,DVS1,Break Away,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",1zGGH6DQDHxQzN2ZOzuC1h,Klockworks 08,5.637983333333334,135.003,0.69,0.799,0.506,5,4,0.00105,0.716,0
16,17,2,MMM,MMM Meets Tshetsha Boys,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",3cnDUZXt0mqpsHulp03aTC,Shangaan Shake,7.11755,136.086,0.576,0.791,0.73,10,4,7.59e-05,0.831,0
17,18,2,Jose Pouj,Meta,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",3OhAxSt5XYjLKI6GoHzXaY,Meta,5.923783333333334,134.988,0.945,0.749,0.417,2,4,0.0106,0.843,1
18,19,2,Artist One,Black Sun 1,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",13diedHQFCpKl5mafM0nb3,Chill Down Vol. 1,6.968183333333333,89.996,0.359,0.755,0.572,1,4,0.0426,0.85,0
20,21,2,Actress,Rainy Dub,"2012-03 - Rob Booth, Objekt - Electronic Explorations 190",18mUOv5vbaJXoh6nWKmpLX,Rainy Dub,8.698683333333333,125.042,0.723,0.88,0.879,11,4,0.162,0.909,0
21,1,4,Griffit Vigo,Run,2021-10-23 - Objekt @ Nowadays (All night),4XsdP0FCAJ0t1puC5HlbPU,I Am Gqom,6.687383333333333,125.98,0.945,0.841,0.248,6,4,0.0412,0.0319,0
22,2,4,Oyubi,Mallet Man,2021-10-23 - Objekt @ Nowadays (All night),4LAyIBM4Ki9fyNr4VAlqhU,TTH Drums / Mallet Man,5.5,127.99,0.993,0.778,0.126,4,4,0.000121,0.895,0
24,4,4,Vertical Spectrum,PAVKO010,2021-10-23 - Objekt @ Nowadays (All night),1u7VH1K02GvqRIzR7x5mgD,Sfora LP,4.305316666666666,126.988,0.937,0.613,0.375,11,4,0.532,0.922,0
25,5,4,Regis,I See Fire,2021-10-23 - Objekt @ Nowadays (All night),6OcpEb3bOdVwi4mJzSF1bG,Hidden In This Is The Light That You Miss,5.14375,127.992,0.937,0.787,0.0651,8,4,0.00207,0.852,1
29,9,4,Mosca,Wide World,2021-10-23 - Objekt @ Nowadays (All night),3V60gW5522X4T2kHlDrMVd,Wide World (Ghetto Dub),5.606283333333334,127.002,0.85,0.805,0.396,10,4,0.000291,0.919,0
30,10,4,K,Hand,2021-10-23 - Objekt @ Nowadays (All night),4KW1lqgSr8TKrvBII0Brf8,The Life Of Pablo,2.2653333333333334,113.088,0.573,0.724,0.438,7,4,0.118,0,1
31,11,4,G.O.D.,Shake It Up,2021-10-23 - Objekt @ Nowadays (All night),6yz0Jndhv0QjKdpcEMbOjz,LIFE'S A TRIP,1.9446666666666668,156.025,0.608,0.776,0.402,10,4,0.128,0,0
32,12,4,?,Shake It Up,2021-10-23 - Objekt @ Nowadays (All night),6yz0Jndhv0QjKdpcEMbOjz,LIFE'S A TRIP,1.9446666666666668,156.025,0.608,0.776,0.402,10,4,0.128,0,0
33,13,4,Nídia,Capacidades,2021-10-23 - Objekt @ Nowadays (All night),1ykjMdqbt95Bu2BuPbAlUy,Não Fales Nela Que A Mentes,2.4629,129.976,0.952,0.884,0.114,8,4,0.000337,0.812,1
36,16,4,Net Gala,Shpiral,2021-10-23 - Objekt @ Nowadays (All night),5WXuZuhx5jDlXe0J2ZsuV3,신파 SHINPA,3.2333333333333334,119.867,0.967,0.328,0.0381,6,3,1.74e-05,0.889,1
37,17,4,Exterminador,Dark Age,2021-10-23 - Objekt @ Nowadays (All night),4w4XuBQJbOaevA8EZkrVEh,Age of Consent,4.15315,131.447,0.985,0.791,0.948,0,4,0.00151,0.883,1
39,19,4,Aleksi Perälä,?,2021-10-23 - Objekt @ Nowadays (All night),3HWZQQWGRA8j0lwpv0Nv3I,"The Colundi Sequence, Vol. 3",6.647,133.587,0.253,0.691,0.432,2,4,0.0137,0.92,1
40,19,4,Aleksi Perälä,?,2021-10-23 - Objekt @ Nowadays (All night),7Bzyr2VDVOAIU4o0KpSWnp,Objekt #4,7.337533333333333,123.01,0.795,0.8,0.599,10,4,0.00388,0.713,0
41,20,4,T++,Worn Down,2021-10-23 - Objekt @ Nowadays (All night),6cR5YKWbTEMWScCghb8Bb6,A Bit Like Home,3.7694833333333335,84.439,0.407,0.441,0.598,4,4,0.865,8.1e-05,1
42,21,4,Less,O,2021-10-23 - Objekt @ Nowadays (All night),1iD0a0plhO55cWEJa5UGcZ,Anthem,3.104433333333333,93.126,0.815,0.719,0.937,5,4,0.16,0,1
44,23,4,Cryptobitch,Cafe Can,2021-10-23 - Objekt @ Nowadays (All night),66rEzGRTkPUD1Ul0pFNAFb,Cryptobitch,6.4,134.993,0.481,0.777,0.384,7,4,0.0171,0.781,1
47,26,4,Al Wootton,Sancode,2021-10-23 - Objekt @ Nowadays (All night),1zqYiv0Ck2CKZDUhwMBOXt,Sancode,4.297066666666667,131.823,0.668,0.528,0.243,10,4,0.000467,0.903,0
49,28,4,Otik,Switchways,2021-10-23 - Objekt @ Nowadays (All night),6lPulHsYI16h8eLjR4hdxs,Trifecta,7.9,160.095,0.944,0.475,0.0328,0,4,0.000421,0.718,1
50,29,4,Mala,B,2021-10-23 - Objekt @ Nowadays (All night),20M00steJbkD9bCIUCuHPI,golden retriever boy,3.1045833333333333,99.975,0.447,0.847,0.562,1,4,0.0886,0.000676,1
55,34,4,Kode9,Babylon,2021-10-23 - Objekt @ Nowadays (All night),67yP24dlXTWxlkAba0X9SM,Tempa Allstars Vol. 2,5.2691,180.206,0.736,0.611,0.689,4,5,0.00093,0.891,0
57,36,4,HSXCHCXCXHS,AAA,2021-10-23 - Objekt @ Nowadays (All night),67E7VBNN318QZpIFdbdiFi,AÅÄ,2.62755,213.295,0.689,0.229,0.369,4,4,0.0763,0.985,1
58,37,4,Aleksi Perälä,FI3AC2140010,2021-10-23 - Objekt @ Nowadays (All night),7rHXgvZ2Wby449BnE9QagJ,Midnight Sun 5 A,6.05465,133.071,0.892,0.633,0.0433,6,3,0.845,0.879,0
59,38,4,?,FI3AC2140010,2021-10-23 - Objekt @ Nowadays (All night),7rHXgvZ2Wby449BnE9QagJ,Midnight Sun 5 A,6.05465,133.071,0.892,0.633,0.0433,6,3,0.845,0.879,0
60,39,4,Philipp Gorbachev,Where Is Rony Douglas?,2021-10-23 - Objekt @ Nowadays (All night),4WxIzOBV4HrVVPjdUy2n65,Hero of Tomorrow,4.023216666666666,130.013,0.791,0.782,0.082,2,4,0.000152,0.556,1
61,40,4,Temudo,Ashamed,2021-10-23 - Objekt @ Nowadays (All night),3kFfLUdx5wL0sCSlVnq3ea,Klockworks 31,6.429116666666666,135.003,0.755,0.784,0.05,7,4,0.117,0.941,1
62,41,4,ADULT.,Hand To Phone,2021-10-23 - Objekt @ Nowadays (All night),7p50YslP62T9VpQS83Nq5A,Resuscitation,5.323766666666667,137.999,0.978,0.744,0.931,10,4,0.000774,0.566,0
63,42,4,Raudive,Here,2021-10-23 - Objekt @ Nowadays (All night),51Hby7Nh0LLfR87OAtIs4L,Audio EP,7.507316666666667,130.006,0.559,0.901,0.0474,8,4,0.0559,0.877,1
65,44,4,ScanOne,Re,2021-10-23 - Objekt @ Nowadays (All night),1K8n0oponkcezTEfbZrkB4,E​.​OneSeven,6.4002,140.006,0.993,0.745,0.703,9,4,0.000476,0.833,1
66,45,4,Dalibor Cruz,Debase,2021-10-23 - Objekt @ Nowadays (All night),0iKvyOTAE3OzpcEVBrOl1S,Riddled With Absence,6.4,130.096,0.981,0.54,0.234,11,5,0.27,0.882,0
68,47,4,Drumskull,Negative 7,2021-10-23 - Objekt @ Nowadays (All night),13a5SL0rrFbBfuSIFTJMQz,Interlocked,4.561533333333333,129.992,0.988,0.712,0.415,1,4,0.00401,0.905,1
69,48,4,Liquid,Feel 3,2021-10-23 - Objekt @ Nowadays (All night),3lH69L1H1jfLCsGG1ZBc4K,Visual Patch #3,2.1176333333333335,69.527,0.185,0.237,0.131,8,3,0.973,0.916,0
70,49,4,Frank De Wulf,I Love You,2021-10-23 - Objekt @ Nowadays (All night),0MbrCZvDQTq6OXyMHK8UW9,Beyond The B-Sides,4.485333333333333,133.93,0.881,0.812,0.398,1,4,0.169,0.46,0
71,50,4,Armand Van Helden,You Don't Know Me,2021-10-23 - Objekt @ Nowadays (All night),7BpyfQEmvi0sUmOq29plEE,You Don't Know Me (feat. Duane Harden),4.038883333333334,129.978,0.682,0.772,0.868,10,4,0.0461,0.00285,1
